       close    volume  growthScore  multipleScore  integratedScore  financialReturnsScore        date
159  39.7039  21868610        0.222          0.822            0.360                  0.678  2015-12-10
160  39.3869  14697025        0.222          0.822            0.358                  0.676  2015-12-11
161  38.4903  24583695        0.222          0.816            0.360                  0.676  2015-12-14
162  38.7439  10444353        0.222          0.810            0.364                  0.680  2015-12-15
163  39.2058  12280757        0.220          0.818            0.360                  0.676  2015-12-16
164  39.5499   9092284        0.220          0.820            0.358                  0.676  2015-12-17
165  39.4322   3036573        0.224          0.820            0.360                  0.676  2015-12-18
166  39.3869   6326143        0.224          0.816            0.362                  0.676  2015-12-21
167  39.5861   7739815        0.226          0.822            0.362                  0.680  2015-12-22
168  39.4593   5112475        0.226          0.818            0.362                  0.680  2015-12-23
169  38.9069   9727907        0.226          0.820            0.362                  0.680  2015-12-24
170  38.3997  16084145        0.226          0.822            0.362                  0.680  2015-12-25
171  38.5356  15781895        0.226          0.822            0.362                  0.680  2015-12-28
172  38.3273  16245132        0.226          0.822            0.362                  0.680  2015-12-29
173  37.6933  20563576        0.226          0.820            0.362                  0.680  2015-12-30
174  37.5937  14645913        0.226          0.822            0.360                  0.680  2015-12-31
175  37.6571  15815238        0.226          0.816            0.364                  0.680  2016-01-01
176  38.1461  21814837        0.224          0.818            0.362                  0.680  2016-01-04
177  37.9016  16854282        0.218          0.822            0.358                  0.678  2016-01-05
178  37.9288  16027968        0.218          0.818            0.360                  0.680  2016-01-06
179  37.5846  21153592        0.218          0.822            0.358                  0.678  2016-01-07
180  37.9650  15462240        0.218          0.828            0.356                  0.678  2016-01-08
181  37.4760  19923495        0.218          0.836            0.354                  0.678  2016-01-11
182  37.4850  15568891        0.220          0.832            0.356                  0.680  2016-01-12
183  38.0918  15209235        0.218          0.838            0.354                  0.680  2016-01-13
184  38.1824  12505160        0.220          0.850            0.344                  0.660  2016-01-14
185  38.1099  13018471        0.222          0.846            0.346                  0.662  2016-01-15
186  38.1190  14167021        0.220          0.850            0.344                  0.662  2016-01-18
187  38.5537  16622840        0.220          0.850            0.344                  0.662  2016-01-19
188  38.8707  20457028        0.220          0.854            0.342                  0.662  2016-01-20
189  38.9431  17097846        0.220          0.850            0.344                  0.662  2016-01-21
190  38.4360  12332896        0.220          0.850            0.344                  0.664  2016-01-22
191  38.6895  15958302        0.222          0.848            0.346                  0.662  2016-01-25
192  38.5175  14413744        0.224          0.856            0.344                  0.664  2016-01-26
193  38.4360  17315697        0.216          0.844            0.346                  0.664  2016-01-27
194  38.6261  17254432        0.214          0.848            0.344                  0.664  2016-01-28
195  39.2148  24853835        0.216          0.850            0.342                  0.662  2016-01-29
196  38.5356  16729648        0.214          0.844            0.346                  0.670  2016-02-01
197  38.4088  16825341        0.214          0.842            0.348                  0.668  2016-02-02
198  39.0427  15222405        0.222          0.840            0.350                  0.670  2016-02-03
199  39.2692  12675861        0.220          0.838            0.352                  0.672  2016-02-04
200  39.3869  12332503        0.222          0.840            0.352                  0.672  2016-02-05
201  39.4956  11170259        0.226          0.844            0.352                  0.674  2016-02-08
202  39.6405  12849973        0.226          0.854            0.348                  0.674  2016-02-09
203  39.7944  20716140        0.230          0.862            0.348                  0.676  2016-02-10
204  39.5680  11166383        0.112          0.862            0.320                  0.712  2016-02-11
205  39.7673  10844226        0.112          0.864            0.320                  0.710  2016-02-12
206  39.9937  10903294        0.112          0.862            0.320                  0.712  2016-02-15
207  39.0699  18421002        0.110          0.862            0.320                  0.714  2016-02-16
208  39.0609  15049765        0.112          0.858            0.322                  0.714  2016-02-17
209  39.5680  12358255        0.112          0.850            0.324                  0.712  2016-02-18
210  39.6405  12856312        0.112          0.856            0.322                  0.712  2016-02-19
211  39.8125  13134766        0.114          0.858            0.322                  0.710  2016-02-22
212  39.9484  13691531        0.114          0.856            0.322                  0.710  2016-02-23
213  39.8578  10695323        0.112          0.854            0.322                  0.710  2016-02-24
214  40.1386  18900248        0.114          0.854            0.322                  0.710  2016-02-25
215  40.5824  18466621        0.114          0.850            0.324                  0.708  2016-02-26
216  40.9627  28908569        0.114          0.842            0.328                  0.712  2016-02-29
217  41.2548  16129805        0.114          0.846            0.326                  0.708  2016-03-01
218  41.3369  13206678        0.114          0.834            0.330                  0.712  2016-03-02
219  41.2913  13686335        0.116          0.828            0.334                  0.712  2016-03-03
220  41.1179  15386132        0.110          0.824            0.332                  0.710  2016-03-04
221  41.7750  24076727        0.108          0.828            0.328                  0.704  2016-03-07
222  41.6199  23853439        0.110          0.832            0.328                  0.708  2016-03-08
223  41.6838   9740372        0.110          0.842            0.326                  0.710  2016-03-09
224  41.5286  13788291        0.110          0.846            0.324                  0.708  2016-03-10
225  41.4921   9292052        0.110          0.850            0.324                  0.708  2016-03-11
226  41.6016  10890206        0.112          0.838            0.326                  0.706  2016-03-14
227  41.8024  13306594        0.112          0.836            0.328                  0.706  2016-03-15
228  42.4231  25010417        0.112          0.840            0.326                  0.704  2016-03-16
229  42.5143  14312186        0.118          0.832            0.334                  0.714  2016-03-17
230  42.3409  15544517        0.118          0.830            0.334                  0.714  2016-03-18
231  42.7425  14922876        0.118          0.828            0.336                  0.716  2016-03-21
232  42.7973  10629837        0.118          0.826            0.336                  0.716  2016-03-22
233  42.4687  10696703        0.118          0.826            0.336                  0.716  2016-03-23
234  42.6330   9122659        0.118          0.830            0.334                  0.716  2016-03-24
235  42.3135   9291960        0.118          0.830            0.334                  0.716  2016-03-25
236  42.7790  11959305        0.118          0.830            0.334                  0.716  2016-03-28
237  42.3866  11880062        0.118          0.832            0.334                  0.714  2016-03-29
238  42.5782  11219103        0.118          0.830            0.334                  0.714  2016-03-30
239  42.0215  13234140        0.116          0.824            0.336                  0.716  2016-03-31
240  41.8298  12982242        0.116          0.818            0.338                  0.716  2016-04-01
241  42.0762  13647784        0.116          0.820            0.338                  0.716  2016-04-04
242  42.1858  11538098        0.112          0.826            0.334                  0.716  2016-04-05
243  42.5326  14418258        0.400          0.862            0.420                  0.722  2016-04-06
244  40.4972  40360297        0.400          0.858            0.422                  0.722  2016-04-07
245  39.8492  37206893        0.406          0.860            0.424                  0.722  2016-04-08
246  40.6524  25134220        0.406          0.864            0.420                  0.722  2016-04-11
247  40.8076  11173788        0.404          0.864            0.420                  0.722  2016-04-12
248  40.6433  13935517        0.414          0.868            0.418                  0.710  2016-04-13
249  40.7802  11335539        0.414          0.856            0.422                  0.710  2016-04-14
250  40.7345  10932525        0.412          0.852            0.424                  0.710  2016-04-15
251  40.8897  11716045        0.412          0.856            0.422                  0.710  2016-04-18
252  41.0540  12577467        0.412          0.856            0.422                  0.708  2016-04-19
253  40.9262  10420484        0.418          0.856            0.422                  0.708  2016-04-20
254  41.0540   9350517        0.418          0.840            0.428                  0.708  2016-04-21
255  41.1270   8801093        0.470          0.842            0.442                  0.700  2016-04-22
256  41.3643   8564035        0.472          0.844            0.442                  0.700  2016-04-25
257  41.2913   8110576        0.470          0.846            0.442                  0.702  2016-04-26
258  41.7568   8933457        0.468          0.848            0.440                  0.700  2016-04-27
259  41.4921   8833105        0.468          0.850            0.440                  0.700  2016-04-28
260  41.8298  10463436        0.466          0.846            0.440                  0.700  2016-04-29
261  41.3917  10341197        0.470          0.848            0.440                  0.698  2016-05-02
262  41.6381   9413602        0.470          0.848            0.440                  0.700  2016-05-03
263  40.8441  17457008        0.470          0.852            0.440                  0.700  2016-05-04
264  40.5976  12524275        0.474          0.860            0.438                  0.700  2016-05-05
265  40.4516  10659524        0.480          0.858            0.442                  0.700  2016-05-06
266  40.1139  12914133        0.484          0.862            0.440                  0.702  2016-05-09
267  40.1321  13554700        0.486          0.864            0.442                  0.702  2016-05-10
268  40.4972  12634212        0.492          0.862            0.444                  0.700  2016-05-11
269  40.5064   9218444        0.492          0.860            0.444                  0.700  2016-05-12
270  40.7893   8695753        0.498          0.860            0.444                  0.696  2016-05-13
271  40.8715   7893894        0.498          0.860            0.446                  0.698  2016-05-16
272  40.7072  18935249        0.496          0.860            0.444                  0.698  2016-05-17
273  40.7984   8916015        0.494          0.858            0.446                  0.698  2016-05-18
274  40.8167   6693945        0.496          0.852            0.446                  0.696  2016-05-19
275  41.1088  13434865        0.496          0.854            0.446                  0.698  2016-05-20
276  41.4100  10310560        0.486          0.850            0.446                  0.702  2016-05-23
277  41.3643   9812617        0.482          0.844            0.446                  0.700  2016-05-24
278  41.5742   7915417        0.482          0.846            0.446                  0.700  2016-05-25
279  41.7659   8042866        0.482          0.842            0.448                  0.704  2016-05-26
280  41.9783  12357013        0.484          0.846            0.448                  0.704  2016-05-27
281  41.5000  10613533        0.484          0.844            0.448                  0.702  2016-05-30
282  41.4265  11298208        0.484          0.846            0.446                  0.702  2016-05-31
283  41.3989   8360350        0.486          0.844            0.450                  0.704  2016-06-01
284  41.6748  11305429        0.490          0.844            0.450                  0.704  2016-06-02
285  41.1965  20805405        0.488          0.842            0.450                  0.704  2016-06-03
286  41.3713  10712366        0.488          0.846            0.448                  0.704  2016-06-06
287  41.5092   7919395        0.488          0.846            0.448                  0.704  2016-06-07
288  41.2609  10738930        0.484          0.846            0.448                  0.704  2016-06-08
289  41.4632   9655345        0.484          0.846            0.448                  0.704  2016-06-09
290  40.4055  26003657        0.482          0.852            0.444                  0.704  2016-06-10
291  40.2675  15805581        0.484          0.858            0.444                  0.704  2016-06-13
292  40.6355  16509784        0.484          0.856            0.444                  0.706  2016-06-14
293  40.8746  12250905        0.484          0.856            0.444                  0.704  2016-06-15
294  41.6932  16056522        0.480          0.854            0.444                  0.706  2016-06-16
295  41.5000  11799738        0.480          0.856            0.444                  0.708  2016-06-17
296  41.7852  12339123        0.480          0.852            0.446                  0.706  2016-06-20
297  41.6380  10902573        0.480          0.848            0.450                  0.720  2016-06-21
298  41.4724   9741108        0.480          0.846            0.452                  0.720  2016-06-22
299  41.7392  11127077        0.480          0.848            0.450                  0.720  2016-06-23
300  41.9139  10937780        0.474          0.846            0.450                  0.722  2016-06-24
301  41.9231   9746907        0.472          0.840            0.452                  0.724  2016-06-27
302  42.0703   8028398        0.470          0.848            0.448                  0.722  2016-06-28
303  42.0243   7621235        0.472          0.840            0.452                  0.726  2016-06-29
304  41.9691  10620966        0.462          0.850            0.444                  0.716  2016-06-30
305  41.9691   7958371        0.464          0.850            0.444                  0.718  2016-07-01
306  41.9691   7761133        0.462          0.846            0.444                  0.718  2016-07-04
307  41.8587   8478211        0.466          0.848            0.444                  0.714  2016-07-05
308  41.8036   8150077        0.466          0.848            0.444                  0.714  2016-07-06
309  42.1531   8836148        0.466          0.848            0.444                  0.714  2016-07-07
310  41.9139   9134338        0.468          0.844            0.446                  0.712  2016-07-08
311  41.2793  15819907        0.468          0.844            0.446                  0.714  2016-07-11
312  39.9180  37461073        0.468          0.844            0.446                  0.714  2016-07-12
313  40.1480  13077828        0.468          0.840            0.448                  0.716  2016-07-13
314  40.1296  16530511        0.464          0.844            0.446                  0.716  2016-07-14
315  39.9640  12349682        0.458          0.846            0.442                  0.714  2016-07-15
316  40.0376  12825187        0.456          0.844            0.442                  0.714  2016-07-18
317  40.1388  12119080        0.456          0.840            0.444                  0.716  2016-07-19
318  40.0192  11244053        0.460          0.836            0.446                  0.716  2016-07-20
319  39.9916  10398203        0.458          0.834            0.446                  0.714  2016-07-21
320  39.9548   8680309        0.454          0.834            0.444                  0.714  2016-07-22
321  39.9824   7281332        0.454          0.834            0.444                  0.714  2016-07-25
322  40.1112   8412055        0.450          0.836            0.442                  0.716  2016-07-26
323  40.2400  11303281        0.452          0.824            0.448                  0.714  2016-07-27
324  40.4975  10928925        0.450          0.816            0.450                  0.714  2016-07-28
325  40.6906  10390642        0.394          0.816            0.428                  0.706  2016-07-29
326  40.3135   9706132        0.394          0.812            0.430                  0.706  2016-08-01
327  40.5251  11208499        0.396          0.812            0.430                  0.706  2016-08-02
328  40.5619   9144293        0.390          0.816            0.428                  0.706  2016-08-03
329  40.3963   9385920        0.390          0.814            0.426                  0.704  2016-08-04
330  40.2308   8687524        0.390          0.810            0.428                  0.706  2016-08-05
331  40.3319   8421061        0.386          0.804            0.430                  0.708  2016-08-08
332  40.3319  11508919        0.390          0.800            0.432                  0.708  2016-08-09
333  40.1664   9815662        0.390          0.796            0.434                  0.706  2016-08-10
334  39.8444  11824943        0.390          0.796            0.434                  0.710  2016-08-11
335  40.0468   9544573        0.392          0.798            0.436                  0.712  2016-08-12
336  39.7709   9720067        0.392          0.798            0.436                  0.712  2016-08-15
337  39.9456  10217936        0.394          0.802            0.434                  0.708  2016-08-16
338  39.8720   8457766        0.396          0.798            0.436                  0.710  2016-08-17
339  40.1572   9026010        0.398          0.802            0.434                  0.708  2016-08-18
340  40.2767   8600372        0.396          0.802            0.434                  0.706  2016-08-19
341  40.1388   8656580        0.398          0.802            0.436                  0.710  2016-08-22
342  40.1296  10020425        0.398          0.798            0.436                  0.708  2016-08-23
343  38.8787  23624237        0.398          0.800            0.436                  0.708  2016-08-24
344  39.7249  15932296        0.398          0.808            0.432                  0.708  2016-08-25
345  39.2056  12962720        0.398          0.806            0.434                  0.708  2016-08-26
346  39.0480   9823933        0.396          0.808            0.432                  0.706  2016-08-29
347  39.2798  10244620        0.396          0.804            0.434                  0.708  2016-08-30
348  39.0758  16353971        0.396          0.806            0.432                  0.708  2016-08-31
349  39.0387   7659863        0.400          0.808            0.432                  0.706  2016-09-01
350  39.2612   8407163        0.396          0.810            0.432                  0.712  2016-09-02
351  39.4374  13654653        0.404          0.812            0.434                  0.708  2016-09-05
352  39.8362   9288268        0.402          0.812            0.434                  0.710  2016-09-06
353  39.6322   8852719        0.404          0.814            0.434                  0.712  2016-09-07
354  38.9923  15036043        0.402          0.808            0.436                  0.712  2016-09-08
355  39.4931  11920432        0.402          0.806            0.436                  0.712  2016-09-09
356  39.0851  15523783        0.404          0.808            0.436                  0.712  2016-09-12
357  38.9738  12671673        0.400          0.810            0.436                  0.720  2016-09-13
358  39.2427  14375702        0.398          0.808            0.436                  0.720  2016-09-14
359  38.9738  11152793        0.398          0.806            0.438                  0.718  2016-09-15
360  38.7976  13682703        0.398          0.802            0.438                  0.720  2016-09-16
361  38.7698   9607263        0.394          0.802            0.438                  0.720  2016-09-19
362  38.6771   9722878        0.396          0.804            0.438                  0.720  2016-09-20
363  38.6956   8122809        0.394          0.802            0.436                  0.720  2016-09-21
364  38.6956   8983623        0.390          0.800            0.436                  0.720  2016-09-22
365  38.5194  12249060        0.392          0.802            0.436                  0.718  2016-09-23
366  38.7420  12216588        0.392          0.798            0.436                  0.716  2016-09-26
367  38.7234  17655643        0.392          0.792            0.440                  0.716  2016-09-27
368  38.6400   9893840        0.392          0.798            0.436                  0.716  2016-09-28
369  38.5751  10792512        0.390          0.790            0.438                  0.716  2016-09-29
370  38.9182  11297333        0.390          0.794            0.438                  0.718  2016-09-30
371  38.9923  16367383        0.390          0.794            0.438                  0.718  2016-10-03
372  38.8811  10620494        0.394          0.802            0.436                  0.716  2016-10-04
373  39.0665  14401515        0.392          0.798            0.438                  0.718  2016-10-05
374  39.4652  13439196        0.392          0.794            0.440                  0.720  2016-10-06
375  39.4467  16484713        0.390          0.796            0.438                  0.720  2016-10-07
376  39.3540  16886249        0.388          0.802            0.436                  0.720  2016-10-10
377  39.0572  14537030        0.386          0.800            0.436                  0.718  2016-10-11
378  39.1592  13398353        0.386          0.804            0.432                  0.718  2016-10-12
379  39.3169  13327475        0.388          0.804            0.434                  0.718  2016-10-13
380  39.0572  12223368        0.388          0.810            0.432                  0.718  2016-10-14
381  38.9923  12034271        0.388          0.804            0.434                  0.718  2016-10-17
382  38.9738  11257978        0.386          0.804            0.434                  0.720  2016-10-18
383  38.6585  14464185        0.388          0.808            0.432                  0.718  2016-10-19
384  39.3725  14038532        0.388          0.804            0.434                  0.718  2016-10-20
385  39.7620  12036581        0.384          0.804            0.432                  0.718  2016-10-21
386  39.1963  21350962        0.386          0.804            0.434                  0.718  2016-10-24
387  37.9630  33245534        0.394          0.810            0.434                  0.718  2016-10-25
388  38.0465  13420962        0.394          0.808            0.434                  0.716  2016-10-26
389  38.1763  19514172        0.396          0.814            0.434                  0.720  2016-10-27
390  38.4267  16553962        0.088          0.824            0.330                  0.730  2016-10-28
391  38.2598  12681351        0.088          0.826            0.330                  0.730  2016-10-31
392  38.1300  12398821        0.090          0.820            0.334                  0.732  2016-11-01
